feature,group,binary_accuracy,auc,fairness_indicators_metrics/false_positive_rate@0.1,fairness_indicators_metrics/false_negative_rate@0.1,fairness_indicators_metrics/true_positive_rate@0.1,fairness_indicators_metrics/true_negative_rate@0.1,fairness_indicators_metrics/positive_rate@0.1,fairness_indicators_metrics/negative_rate@0.1,fairness_indicators_metrics/false_discovery_rate@0.1,fairness_indicators_metrics/false_omission_rate@0.1,fairness_indicators_metrics/precision@0.1,fairness_indicators_metrics/recall@0.1,fairness_indicators_metrics/false_positive_rate@0.2,fairness_indicators_metrics/false_negative_rate@0.2,fairness_indicators_metrics/true_positive_rate@0.2,fairness_indicators_metrics/true_negative_rate@0.2,fairness_indicators_metrics/positive_rate@0.2,fairness_indicators_metrics/negative_rate@0.2,fairness_indicators_metrics/false_discovery_rate@0.2,fairness_indicators_metrics/false_omission_rate@0.2,fairness_indicators_metrics/precision@0.2,fairness_indicators_metrics/recall@0.2,fairness_indicators_metrics/false_positive_rate@0.3,fairness_indicators_metrics/false_negative_rate@0.3,fairness_indicators_metrics/true_positive_rate@0.3,fairness_indicators_metrics/true_negative_rate@0.3,fairness_indicators_metrics/positive_rate@0.3,fairness_indicators_metrics/negative_rate@0.3,fairness_indicators_metrics/false_discovery_rate@0.3,fairness_indicators_metrics/false_omission_rate@0.3,fairness_indicators_metrics/precision@0.3,fairness_indicators_metrics/recall@0.3,fairness_indicators_metrics/false_positive_rate@0.4,fairness_indicators_metrics/false_negative_rate@0.4,fairness_indicators_metrics/true_positive_rate@0.4,fairness_indicators_metrics/true_negative_rate@0.4,fairness_indicators_metrics/positive_rate@0.4,fairness_indicators_metrics/negative_rate@0.4,fairness_indicators_metrics/false_discovery_rate@0.4,fairness_indicators_metrics/false_omission_rate@0.4,fairness_indicators_metrics/precision@0.4,fairness_indicators_metrics/recall@0.4,fairness_indicators_metrics/false_positive_rate@0.5,fairness_indicators_metrics/false_negative_rate@0.5,fairness_indicators_metrics/true_positive_rate@0.5,fairness_indicators_metrics/true_negative_rate@0.5,fairness_indicators_metrics/positive_rate@0.5,fairness_indicators_metrics/negative_rate@0.5,fairness_indicators_metrics/false_discovery_rate@0.5,fairness_indicators_metrics/false_omission_rate@0.5,fairness_indicators_metrics/precision@0.5,fairness_indicators_metrics/recall@0.5,fairness_indicators_metrics/false_positive_rate@0.6,fairness_indicators_metrics/false_negative_rate@0.6,fairness_indicators_metrics/true_positive_rate@0.6,fairness_indicators_metrics/true_negative_rate@0.6,fairness_indicators_metrics/positive_rate@0.6,fairness_indicators_metrics/negative_rate@0.6,fairness_indicators_metrics/false_discovery_rate@0.6,fairness_indicators_metrics/false_omission_rate@0.6,fairness_indicators_metrics/precision@0.6,fairness_indicators_metrics/recall@0.6,fairness_indicators_metrics/false_positive_rate@0.7,fairness_indicators_metrics/false_negative_rate@0.7,fairness_indicators_metrics/true_positive_rate@0.7,fairness_indicators_metrics/true_negative_rate@0.7,fairness_indicators_metrics/positive_rate@0.7,fairness_indicators_metrics/negative_rate@0.7,fairness_indicators_metrics/false_discovery_rate@0.7,fairness_indicators_metrics/false_omission_rate@0.7,fairness_indicators_metrics/precision@0.7,fairness_indicators_metrics/recall@0.7,fairness_indicators_metrics/false_positive_rate@0.8,fairness_indicators_metrics/false_negative_rate@0.8,fairness_indicators_metrics/true_positive_rate@0.8,fairness_indicators_metrics/true_negative_rate@0.8,fairness_indicators_metrics/positive_rate@0.8,fairness_indicators_metrics/negative_rate@0.8,fairness_indicators_metrics/false_discovery_rate@0.8,fairness_indicators_metrics/false_omission_rate@0.8,fairness_indicators_metrics/precision@0.8,fairness_indicators_metrics/recall@0.8,fairness_indicators_metrics/false_positive_rate@0.9,fairness_indicators_metrics/false_negative_rate@0.9,fairness_indicators_metrics/true_positive_rate@0.9,fairness_indicators_metrics/true_negative_rate@0.9,fairness_indicators_metrics/positive_rate@0.9,fairness_indicators_metrics/negative_rate@0.9,fairness_indicators_metrics/false_discovery_rate@0.9,fairness_indicators_metrics/false_omission_rate@0.9,fairness_indicators_metrics/precision@0.9,fairness_indicators_metrics/recall@0.9
sex_Female,0.0,0.8104441041347626,0.8678362533180313,0.25778638043286994,0.19741883444242792,0.8025811655575721,0.7422136195671301,0.4232771822358346,0.5767228177641653,0.4240231548480463,0.1039830058417419,0.5759768451519537,0.8025811655575721,0.19070033433045927,0.26104053236539626,0.7389594676346037,0.8092996656695407,0.35724349157733537,0.6427565084226646,0.37165637860082307,0.12336795959210903,0.628343621399177,0.7389594676346037,0.14824916417385184,0.3103448275862069,0.6896551724137931,0.8517508358261482,0.3127105666156202,0.6872894333843798,0.33006856023506365,0.13716577540106953,0.6699314397649363,0.6896551724137931,0.11793946859053317,0.357733413994757,0.642266586005243,0.8820605314094668,0.2772128637059724,0.7227871362940276,0.2962103634957463,0.15034535361667867,0.7037896365042536,0.642266586005243,0.09101706844976246,0.4154063319217584,0.5845936680782415,0.9089829315502376,0.24094946401225115,0.7590505359877489,0.2629973306215838,0.16624298914578542,0.7370026693784162,0.5845936680782415,0.052349111384831955,0.5114942528735632,0.4885057471264368,0.947650888615168,0.18483920367534457,0.8151607963246554,0.19718309859154928,0.19060680067631036,0.8028169014084507,0.4885057471264368,0.01368115431990146,0.7187941117160718,0.28120588828392823,0.9863188456800985,0.09494640122511486,0.9050535987748851,0.1003225806451613,0.24125211505922164,0.8996774193548387,0.28120588828392823,0.004311103290515573,0.7718289977818108,0.22817100221818915,0.9956888967094845,0.07231240428790199,0.927687595712098,0.04150783566285472,0.2527320149229093,0.9584921643371452,0.22817100221818915,0.0,1.0,0.0,1.0,0.0,1.0,NaN,0.3037672281776417,NaN,0.0
Overall,Overall,0.8487367429671184,0.8930197392750995,0.18457811869196608,0.2130572430906135,0.7869427569093865,0.815421881308034,0.32871299291593303,0.671287007084067,0.4271566490189972,0.07594473419343033,0.5728433509810028,0.7869427569093865,0.13387161889382318,0.2803970223325062,0.7196029776674938,0.8661283811061768,0.2740264526432169,0.7259735473567831,0.3716377764494919,0.09241920018049524,0.6283622235505081,0.7196029776674938,0.1028663706096084,0.3287413365277659,0.6712586634722341,0.8971336293903917,0.23887228205233202,0.761127717947668,0.3275906402674209,0.10334902488231339,0.6724093597325791,0.6712586634722341,0.08155026241421073,0.3756310430392744,0.6243689569607256,0.9184497375857893,0.21143687809672004,0.7885631219032799,0.29340563571221073,0.11398156562378293,0.7065943642877893,0.6243689569607256,0.06262952496299287,0.433045263968512,0.5669547360314879,0.9373704750370071,0.18330535195118955,0.8166946480488104,0.25991287836479393,0.12687708390784427,0.7400871216352061,0.5669547360314879,0.036092046830843764,0.5281937195174126,0.4718062804825875,0.9639079531691562,0.14035051799680603,0.859649482003194,0.19562363238512034,0.147021697191988,0.8043763676148796,0.4718062804825875,0.010173597093257974,0.7226833233507316,0.2773166766492684,0.9898264029067421,0.07409606486220875,0.9259039351377912,0.10444874274661509,0.18676337262012693,0.8955512572533849,0.2773166766492684,0.0033373704750370072,0.771113202703859,0.228886797296141,0.996662629524963,0.05730723557593874,0.9426927644240612,0.04430153626295105,0.19573007840496925,0.9556984637370489,0.228886797296141,0.0,1.0,0.0,1.0,0.0,1.0,NaN,0.23928176569346055,NaN,0.0
sex_Female,1.0,0.9259510869565217,0.9150590804281539,0.0691950357068571,0.30073487846240815,0.6992651215375919,0.9308049642931429,0.13803112648221344,0.8619688735177866,0.4465324384787472,0.03811707386974278,0.5534675615212528,0.6992651215375919,0.04430423628926021,0.38892029395138494,0.6110797060486151,0.9556957637107398,0.10622529644268774,0.8937747035573123,0.3715116279069767,0.04754007739082366,0.6284883720930232,0.6110797060486151,0.031338833807113636,0.4318824194460147,0.5681175805539853,0.9686611661928863,0.08998270750988142,0.9100172924901185,0.31022649279341113,0.05184933831014591,0.6897735072065889,0.5681175805539853,0.02419746238646606,0.4759751271905031,0.5240248728094969,0.975802537613534,0.07880434782608696,0.9211956521739131,0.27351097178683387,0.05644945025475999,0.7264890282131662,0.5240248728094969,0.017888095403175482,0.5319389485585077,0.46806105144149235,0.9821119045968245,0.0670701581027668,0.9329298418972332,0.23756906077348067,0.0622931285581888,0.7624309392265194,0.46806105144149235,0.010469389170075574,0.6218202374222724,0.3781797625777275,0.9895306108299244,0.050642292490118576,0.9493577075098815,0.18414634146341463,0.07155867811605517,0.8158536585365853,0.3781797625777275,0.004645358108576579,0.7444884115319389,0.25551158846806105,0.9953546418914234,0.032052865612648224,0.9679471343873518,0.12909441233140656,0.08402986026925285,0.8709055876685935,0.25551158846806105,0.001802676280940165,0.7671000565291125,0.2328999434708875,0.9981973237190598,0.027050395256916996,0.972949604743083,0.0593607305936073,0.08613685413228386,0.9406392694063926,0.2328999434708875,0.0,1.0,0.0,1.0,0.0,1.0,NaN,0.10925148221343874,NaN,0.0
