threshold,falsePositives,truePositives,precision,recall,falsePositiveRate,f1,accuracy,falseOmissionRate,feature,group,falseNegatives,trueNegatives,dataset
0.062,9082.0,9040.0,0.4988411875068977,0.9114740875176448,0.3995248988210452,0.6447931526390871,0.6949464012251149,0.0604350220264317,sex_Female,0.0,878.0,13650.0,Train
0.063,8974.0,9020.0,0.5012782038457263,0.9094575519257916,0.3947738870314974,0.6463169962740041,0.6976416539050536,0.0612718340611353,sex_Female,0.0,898.0,13758.0,Train
0.064,8871.0,8990.0,0.5033312804434242,0.9064327485380116,0.3902428294914657,0.6472515209330789,0.6998774885145482,0.0627493407262154,sex_Female,0.0,928.0,13861.0,Train
0.065,8764.0,8955.0,0.5053896946780292,0.9029038112522686,0.3855358085518212,0.6480442884538843,0.70208269525268,0.0644966847498493,sex_Female,0.0,963.0,13968.0,Train
0.066,8656.0,8925.0,0.5076503043057846,0.8998790078644888,0.3807847967622734,0.6491145132550274,0.7044716692189893,0.0658968743778618,sex_Female,0.0,993.0,14076.0,Train
0.067,8541.0,8895.0,0.5101514108740537,0.896854204476709,0.3757258490234031,0.6503619214740075,0.7070750382848392,0.0672406993558564,sex_Female,0.0,1023.0,14191.0,Train
0.068,8440.0,8865.0,0.5122796879514591,0.8938294010889292,0.3712827731831778,0.6512875142342871,0.709249617151608,0.0686217008797654,sex_Female,0.0,1053.0,14292.0,Train
0.069,8329.0,8846.0,0.5150509461426492,0.8919136922766687,0.3663997888439204,0.6530100025836932,0.7120673813169984,0.0692730210016155,sex_Female,0.0,1072.0,14403.0,Train
0.07,8192.0,8810.0,0.5181743324314787,0.888283928211333,0.3603730424071793,0.6545319465081725,0.7151607963246555,0.0708077709611452,sex_Female,0.0,1108.0,14540.0,Train
0.071,8084.0,8781.0,0.5206640972428106,0.8853599516031458,0.3556220306176315,0.6557144457305006,0.7175803981623278,0.0720304086157744,sex_Female,0.0,1137.0,14648.0,Train
0.072,7915.0,8721.0,0.524224573214715,0.8793103448275862,0.3481875769839873,0.6568501920614596,0.7209188361408883,0.0747470962907456,sex_Female,0.0,1197.0,14817.0,Train
